1/12/2023,OD,401000,COMMERCE ELECTRONIQUE,CARTE X9713 30/11 INPI VADS,-2.52
1/12/2023,OD,512000,COMMERCE ELECTRONIQUE,CARTE X9713 30/11 INPI VADS,,2.52
1/12/2023,OD,421001,CARTE X9713 28/11 AMAZON PAYMENTS,COMMERCE ELECTRONIQUE,-80.38
1/12/2023,OD,512000,CARTE X9713 28/11 AMAZON PAYMENTS,COMMERCE ELECTRONIQUE,,80.38
1/12/2023,OD,421001,000001 VIR EUROPEEN EMIS   NET,000001 VIR EUROPEEN EMIS   NET,-109
1/12/2023,OD,512000,000001 VIR EUROPEEN EMIS   NET,000001 VIR EUROPEEN EMIS   NET,,109
1/12/2023,OD,425000,DE: SFR BUSINESS-SOCIETE FRANCAISE DU R,ADIOTELEPHONE - S.,-184.21
1/12/2023,OD,512000,DE: SFR BUSINESS-SOCIETE FRANCAISE DU R,ADIOTELEPHONE - S.,,184.21
2/12/2023,OD,431000,"MONTANT HT : 14,72 EUR","MONTANT HT : 14,72 EUR",-17.66
2/12/2023,OD,512000,"MONTANT HT : 14,72 EUR","MONTANT HT : 14,72 EUR",,17.66
